german,english
der,of
die,to
und,and
in,a
den,in
von,for
zu,is
das,the
mit,that
sich,on
des,the
auf,onto
für,for
ist,is
im,in
dem,the
nicht,not
ein,one
Die,the
eine,one
als,than
auch,also
es,it
an,to
werden,will
aus,from
er,he
hat,has
daß,that
sie,they
nach,after
wird,is
bei,with
einer,one
Der,the
um,to
am,on
sind,are
noch,more
wie,as
einem,a
über,about
einen,a
Das,the
so,so
Sie,they
zum,to
war,was
haben,have
nur,only
oder,or
aber,however
vor,ago
zur,to
bis,to
mehr,more
durch,through
man,to
sein,its
wurde,was
sei,was
In,in
Prozent,percent
hatte,had
kann,can
gegen,towards
vom,from
können,be able
schon,already
wenn,when
habe,have
seine,its
Mark,Mark
ihre,their
dann,then
unter,below
wir,we
soll,to
ich,I
eines,one
Es,it
Jahr,year
zweri,two
Jahren,years
diese,this
dieser,this
wieder,again
keine,no
Uhr,clock
seiner,its
worden,been
Und,and
will,wants
zwischen,between
Im,in
immer,always
Millionen,million
Ein,one
was,what
sagte,said
Er,he
gibt,are
alle,all
DM,DM
diesem,this
seit,since
muß,must
wurden,were
beim,the
doch,but
jetzt,now
waren,were
drei,three
Jahre,years
Mit,with
neue,new
neuen,new
damit,so that
bereits,already
da,because
Auch,also
ihr,their
seinen,its
müssen,have to
ab,from
ihrer,of her
Nach,after
ohne,without
sondern,but
selbst,itself
ersten,first
nun,now
etwa,about
Bei,with
heute,today
ihren,their
weil,because
ihm,it
seien,are
Menschen,people
Deutschland,Germany
anderen,other
werde,will
Ich,I
sagt,says
Wir,we
Eine,one
rund,about
Für,for
Aber,however
ihn,it
Ende,end
jedoch,however
Zeit,time
sollen,to
ins,to
Wenn,when
So,so
seinem,his
uns,to us
Stadt,city
geht,goes
Doch,yet
sehr,highly
hier,here
ganz,quite
erst,only
wollen,will
Berlin,Berlin
vor allem,especially
sowie,and
hatten,had
kein,not a
deutschen,German
machen,have
lassen,leave
Als,than
Unternehmen,business
andere,other
ob,whether
dieses,this
steht,is
dabei,there
wegen,because
weiter,more
denn,because
beiden,two
einmal,once
etwas,something
Wie,how
nichts,nothing
allerdings,however
vier,four
gut,good
viele,a lot
wo,where
viel,much
dort,there
alles,everything
Auf,onto
wäre,would
SPD,SPD
kommt,comes
vergangenen,past
denen,to those
fast,almost
fünf,five
könnte,could
nicht nur,not only
hätten,would
Frau,woman
Am,on
dafür,for that
kommen,come
diesen,this
letzten,last
zwar,Although
Diese,this
großen,large
dazu,to
Von,from
Mann,man
Da,since
sollte,should
würde,would
also,so
bisher,been
Leben,life
Milliarden,billion
Welt,world
Regierung,government
konnte,could
ihrem,their
Frauen,women
während,during
Land,country
zehn,ten
würden,would
stehen,are
ja,yes
USA,USA
heißt,is
dies,this
zurück,back
Kinder,children
dessen,its
ihnen,them
deren,their
sogar,even
Frage,issue
gewesen,been
erste,first
gab,were
liegt,is
gar,even
davon,which
gestern,yesterday
geben,provide
Teil,part
Polizei,police
dass,that
hätte,would
eigenen,own
kaum,hardly
sieht,looks
große,large
Denn,because
weitere,more
Was,What
sehen,watch
macht,makes
Angaben,information
weniger,less
gerade,just
läßt,can
Geld,money
München,Munich
deutsche,German
allen,all
darauf,it
wohl,probably
später,subsequently
könne,could
deshalb,therefore
aller,of all
kam,came
Arbeit,working
mich,myself
gegenüber,compared with
nächsten,next
bleibt,remains
wenig,little
lange,long
gemacht,made
Wer,Who
Dies,This
Fall,case
mir,me
gehen,move
Berliner,Berlin
mal,times
Weg,way
CDU,CDU
wollte,wanted
sechs,six
keinen,no
Woche,week
dagegen,against
alten,old
möglich,feasible
gilt,applies
erklärte,explained
müsse,must
Dabei,there
könnten,could
Geschichte,history
zusammen,together
finden,Quote
Tag,day
Art,type
erhalten,obtain
Man,one
Dollar,dollars
Wochen,weeks
jeder,everyone
nie,never
bleiben,remain
besonders,particularly
Jahres,year
Deutschen,German
Den,the
Zu,to
zunächst,first
derzeit,at the moment
allein,only
deutlich,clearly
Entwicklung,development
weiß,white
einige,some
sollten,should
Präsident,President
